Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,2,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107081419G,22,2018-07-02,Lekko,20*22'457,52*39'256,7,Obszar niezabudowany,"Zakręt, łuk",Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOŃSKI,PŁOŃSK - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107090802C,21,2018-07-08,Nieokreślone (puste pole),21*35'387,51*19'236,79,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT ZWOLEŃSKI,ZWOLEŃ - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107102178K,1,2018-07-09,Lekko,21*34'125,51*36'147,P1724W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT KOZIENICKI,KOZIENICE - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107102178K,1,2018-07-09,Nieokreślone (puste pole),21*34'125,51*36'147,P1724W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT KOZIENICKI,KOZIENICE - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107103066U,22,2018-07-13,Lekko,21*01'317,51*33'549,P0244T,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT BIAŁOBRZESKI,STARA BŁOTNICA - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107103066U,22,2018-07-13,Nieokreślone (puste pole),21*01'317,51*33'549,P0244T,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT BIAŁOBRZESKI,STARA BŁOTNICA - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107148839U,22,2018-07-27,Nieokreślone (puste pole),20*43'032,51*30'349,48,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PRZYSUSKI,POTWORÓW - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107160064X,22,2018-08-07,Ciężko,21*14'220,51*18'379,P3540W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,SKARYSZEW - OBSZAR MIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107160064X,22,2018-08-07,Nieokreślone (puste pole),21*14'220,51*18'379,P3540W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,SKARYSZEW - OBSZAR MIEJSKI
1,0,2,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107199491W,22,2018-08-19,Lekko,20*16'104,52*04'258,A2,Obszar niezabudowany,Odcinek prosty,Autostrada,Autostrada,N,POWIAT ŻYRARDOWSKI,WISKITKI - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107199491W,22,2018-08-19,Nieokreślone (puste pole),20*16'104,52*04'258,A2,Obszar niezabudowany,Odcinek prosty,Autostrada,Autostrada,N,POWIAT ŻYRARDOWSKI,WISKITKI - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107238873G,20,2018-08-27,Lekko,20*36'470,52*49'460,P1221W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT CIECHANOWSKI,CIECHANÓW - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107238873G,20,2018-08-27,Nieokreślone (puste pole),20*36'470,52*49'460,P1221W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT CIECHANOWSKI,CIECHANÓW - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107265745T,21,2018-09-07,Ciężko,21*03'102,52*41'005,571,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,T,POWIAT PUŁTUSKI,PUŁTUSK - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107265745T,21,2018-09-07,Nieokreślone (puste pole),21*03'102,52*41'005,571,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,T,POWIAT PUŁTUSKI,PUŁTUSK - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107276467R,19,2018-09-11,Nieokreślone (puste pole),19*39'097,52*53'235,560,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT SIERPECKI,SIERPC - OBSZAR MIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107285827R,3,2018-09-16,Ciężko,20*18'173,52*13'267,92,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107285827R,3,2018-09-16,Nieokreślone (puste pole),20*18'173,52*13'267,92,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107324838U,20,2018-09-29,Lekko,21*13'372,51*07'371,9,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,IŁŻA - OBSZAR MIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107324838U,20,2018-09-29,Nieokreślone (puste pole),21*13'372,51*07'371,9,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,IŁŻA - OBSZAR MIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107326053T,20,2018-09-29,Nieokreślone (puste pole),20*42'147,53*06'528,616,Obszar niezabudowany,,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT MŁAWSKI,DZIERZGOWO - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107331145F,1,2018-10-01,Nieokreślone (puste pole),20*16'158,52*47'471,7,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT CIECHANOWSKI,GLINOJECK - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107333235T,19,2018-10-01,Ciężko,21*14'488,51*20'449,P3534W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,SKARYSZEW - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107333235T,19,2018-10-01,Nieokreślone (puste pole),21*14'488,51*20'449,P3534W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,SKARYSZEW - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107338941J,20,2018-10-02,Ciężko,21*46'667,52*47'558,P2640W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,T,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107338941J,20,2018-10-02,Nieokreślone (puste pole),21*46'667,52*47'558,P2640W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,T,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107348777F,19,2018-10-05,Lekko,21*36'130,51*23'352,79,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT ZWOLEŃSKI,ZWOLEŃ - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107348777F,19,2018-10-05,Nieokreślone (puste pole),21*36'130,51*23'352,79,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT ZWOLEŃSKI,ZWOLEŃ - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107374922F,21,2018-10-12,Nieokreślone (puste pole),20*06'218,52*38'425,10,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT PŁOCKI,STAROŹREBY - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107384422N,21,2018-10-15,Nieokreślone (puste pole),22*43'372,52*11'566,19,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT ŁOSICKI,ŁOSICE - OBSZAR MIEJSKI
