IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98146895T,2014,2014-02-25,20,POWIAT WYSZKOWSKI,ZABRODZIE - OBSZAR WIEJSKI,Droga krajowa,8,Ekspresowa,Odcinek prosty,Obszar niezabudowany,21.3950277777778,52.5113888888889,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98148146P,2014,2014-02-18,18,POWIAT GARWOLIŃSKI,WILGA - OBSZAR WIEJSKI,Droga powiatowa,31304W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.3143055555556,51.8534444444444,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98152512M,2014,2014-03-06,20,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI,Droga krajowa,7,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.3995,53.1132222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
EWK-98152512M,2014,2014-03-06,20,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI,Droga krajowa,7,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.3995,53.1132222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98176509K,2014,2014-03-30,20,POWIAT PŁOCKI,WYSZOGRÓD - OBSZAR WIEJSKI,Droga krajowa,50,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.2139166666667,52.45625,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,T,,,,,,,,,,
EWK-98176509K,2014,2014-03-30,20,POWIAT PŁOCKI,WYSZOGRÓD - OBSZAR WIEJSKI,Droga krajowa,50,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.2139166666667,52.45625,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98178201D,2014,2014-03-28,21,POWIAT LIPSKI,LIPSKO - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.65325,51.1552222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98178201D,2014,2014-03-28,21,POWIAT LIPSKI,LIPSKO - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.65325,51.1552222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98178209A,2014,2014-03-29,18,POWIAT GRÓJECKI,GRÓJEC - OBSZAR WIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.8864166666667,51.8091666666667,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98181203Y,2014,2014-03-30,19,POWIAT SIEDLECKI,SKÓRZEC - OBSZAR WIEJSKI,Droga powiatowa,P3310C,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,22.0936111111111,52.13325,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
